incident_id,person_id,incident_type,date,location_id,description
I0001,P034,Vehicle Incident,2026-02-01,L015,Synthetic incident record 1 involving Person P034.
I0002,P048,Communication Alert,2026-07-11,L022,Synthetic incident record 2 involving Person P048.
I0003,P034,Vehicle Incident,2026-04-08,L027,Synthetic incident record 3 involving Person P034.
I0004,P082,Suspicious Meeting,2026-01-28,L022,Synthetic incident record 4 involving Person P082.
I0005,P030,Financial Dispute,2026-01-07,L020,Synthetic incident record 5 involving Person P030.
I0006,P072,Suspicious Meeting,2026-08-23,L020,Synthetic incident record 6 involving Person P072.
I0007,P029,Communication Alert,2026-01-17,L021,Synthetic incident record 7 involving Person P029.
I0008,P060,Communication Alert,2026-03-19,L021,Synthetic incident record 8 involving Person P060.
I0009,P053,Theft Report,2026-02-05,L002,Synthetic incident record 9 involving Person P053.
I0010,P005,Suspicious Meeting,2026-05-07,L004,Synthetic incident record 10 involving Person P005.
I0011,P013,Fraud Alert,2026-08-16,L018,Synthetic incident record 11 involving Person P013.
I0012,P018,Financial Dispute,2026-04-27,L012,Synthetic incident record 12 involving Person P018.
I0013,P086,Communication Alert,2026-06-28,L018,Synthetic incident record 13 involving Person P086.
I0014,P054,Vehicle Incident,2026-07-10,L024,Synthetic incident record 14 involving Person P054.
I0015,P020,Financial Dispute,2026-06-17,L004,Synthetic incident record 15 involving Person P020.
I0016,P063,Vehicle Incident,2026-04-15,L009,Synthetic incident record 16 involving Person P063.
I0017,P005,Communication Alert,2026-04-05,L007,Synthetic incident record 17 involving Person P005.
I0018,P057,Financial Dispute,2026-03-02,L028,Synthetic incident record 18 involving Person P057.
I0019,P047,Theft Report,2026-06-25,L012,Synthetic incident record 19 involving Person P047.
I0020,P070,Communication Alert,2026-04-02,L002,Synthetic incident record 20 involving Person P070.
I0021,P051,Suspicious Meeting,2026-02-18,L004,Synthetic incident record 21 involving Person P051.
I0022,P059,Theft Report,2026-06-19,L007,Synthetic incident record 22 involving Person P059.
I0023,P083,Communication Alert,2026-06-02,L001,Synthetic incident record 23 involving Person P083.
