transaction_id,sender_id,receiver_id,amount,date,location_id
T0001,P094,P044,4080,2026-03-05,L007
T0002,P025,P069,15200,2026-02-05,L014
T0003,P024,P036,15659,2026-03-05,L028
T0004,P010,P057,18533,2026-01-26,L002
T0005,P084,P070,983,2026-01-24,L030
T0006,P097,P031,5949,2026-04-15,L016
T0007,P062,P028,13641,2026-08-20,L002
T0008,P022,P049,570,2026-04-10,L009
T0009,P059,P037,14361,2026-06-28,L024
T0010,P072,P085,24040,2026-05-05,L005
T0011,P025,P038,7633,2026-01-15,L019
T0012,P095,P070,2497,2026-07-11,L011
T0013,P008,P007,19642,2026-05-03,L017
T0014,P068,P021,2363,2026-05-11,L003
T0015,P024,P009,19998,2026-01-18,L022
T0016,P031,P052,4428,2026-08-16,L019
T0017,P032,P075,19981,2026-01-11,L020
T0018,P011,P054,22040,2026-05-30,L019
T0019,P067,P041,9044,2026-02-22,L022
T0020,P092,P041,8321,2026-03-09,L013
T0021,P017,P086,21651,2026-03-18,L015
T0022,P041,P097,2877,2026-01-03,L015
T0023,P080,P073,3776,2026-01-19,L018
T0024,P028,P065,9190,2026-02-03,L030
T0025,P045,P009,8504,2026-04-05,L010
T0026,P021,P057,18300,2026-06-30,L010
T0027,P079,P084,17832,2026-01-03,L022
T0028,P071,P039,22237,2026-01-27,L029
T0029,P018,P034,4282,2026-08-16,L004
T0030,P096,P071,5593,2026-03-11,L010
T0031,P078,P027,24014,2026-03-29,L007
T0032,P088,P082,9150,2026-05-10,L016
T0033,P033,P007,3524,2026-06-12,L014
T0034,P036,P006,616,2026-03-27,L025
T0035,P017,P082,9083,2026-02-11,L024
T0036,P057,P071,23623,2026-04-20,L018
T0037,P002,P015,2965,2026-08-15,L023
T0038,P020,P070,1680,2026-08-02,L012
T0039,P075,P071,5352,2026-04-21,L005
T0040,P006,P040,12448,2026-08-19,L030
T0041,P006,P046,7383,2026-06-24,L008
T0042,P086,P014,12089,2026-07-19,L018
T0043,P053,P080,5564,2026-08-25,L030
T0044,P031,P021,6301,2026-08-14,L014
T0045,P004,P023,24635,2026-08-25,L011
T0046,P053,P086,24586,2026-07-27,L008
T0047,P035,P021,23479,2026-01-28,L013
T0048,P005,P061,7788,2026-02-21,L027
T0049,P059,P045,10500,2026-07-30,L026
T0050,P030,P029,1275,2026-06-18,L007
T0051,P052,P043,9629,2026-08-10,L003
T0052,P099,P036,12006,2026-06-14,L017
T0053,P052,P087,18070,2026-03-26,L001
T0054,P015,P034,6351,2026-05-29,L009
T0055,P005,P014,20048,2026-04-22,L012
T0056,P094,P041,14799,2026-06-05,L017
T0057,P015,P050,19393,2026-02-18,L009
T0058,P006,P091,14788,2026-01-01,L017
T0059,P069,P088,24074,2026-08-29,L024
T0060,P095,P086,6956,2026-04-04,L014
T0061,P009,P086,11319,2026-06-09,L011
T0062,P085,P016,24084,2026-08-19,L010
T0063,P065,P040,22352,2026-04-15,L011
T0064,P052,P090,10188,2026-05-22,L005
T0065,P025,P054,22288,2026-08-29,L013
T0066,P087,P096,6202,2026-06-07,L019
T0067,P039,P052,18454,2026-08-02,L001
T0068,P039,P037,7387,2026-04-21,L026
T0069,P075,P078,21953,2026-03-24,L015
T0070,P057,P087,7502,2026-05-11,L016
T0071,P095,P022,22089,2026-01-22,L010
T0072,P066,P085,21240,2026-06-08,L011
T0073,P012,P097,8196,2026-06-22,L010
T0074,P029,P026,5328,2026-01-07,L002
T0075,P032,P061,20530,2026-08-06,L025
T0076,P010,P059,14080,2026-08-15,L021
T0077,P074,P025,24038,2026-06-28,L013
T0078,P064,P052,8494,2026-02-07,L021
T0079,P089,P001,3992,2026-07-19,L014
T0080,P029,P023,23303,2026-05-13,L015
T0081,P007,P072,8665,2026-08-23,L028
T0082,P016,P059,4869,2026-07-25,L015
T0083,P086,P068,18814,2026-06-02,L011
T0084,P097,P057,20575,2026-07-28,L024
T0085,P065,P055,18452,2026-04-25,L029
T0086,P021,P096,16054,2026-04-26,L009
T0087,P097,P032,21394,2026-03-12,L025
T0088,P100,P067,16379,2026-06-10,L008
T0089,P036,P057,3038,2026-07-02,L010
T0090,P031,P035,11505,2026-03-23,L029
T0091,P070,P011,5034,2026-02-08,L008
T0092,P050,P089,5507,2026-06-30,L007
T0093,P009,P054,13856,2026-03-26,L018
T0094,P060,P054,2540,2026-02-22,L027
T0095,P054,P050,19639,2026-06-28,L001
T0096,P098,P074,12964,2026-05-03,L001
T0097,P046,P039,13279,2026-08-07,L029
T0098,P054,P069,24994,2026-07-08,L018
T0099,P078,P029,16498,2026-02-26,L009
T0100,P056,P063,1451,2026-04-10,L011
T0101,P086,P087,13748,2026-07-05,L006
T0102,P060,P017,20890,2026-05-17,L001
T0103,P051,P076,18993,2026-06-19,L001
T0104,P011,P083,14544,2026-02-04,L028
T0105,P060,P024,2147,2026-03-08,L013
T0106,P042,P028,15399,2026-03-25,L011
T0107,P098,P049,9617,2026-07-12,L027
T0108,P054,P033,3183,2026-05-01,L001
T0109,P096,P070,2206,2026-03-31,L008
T0110,P084,P009,21856,2026-01-11,L025
T0111,P004,P032,7032,2026-08-03,L001
T0112,P080,P020,8316,2026-02-02,L016
T0113,P086,P015,18980,2026-02-25,L015
T0114,P090,P033,12587,2026-02-12,L020
T0115,P078,P096,24039,2026-01-30,L025
T0116,P021,P040,4042,2026-05-29,L001
T0117,P040,P074,22695,2026-08-21,L013
T0118,P051,P092,6998,2026-01-20,L019
T0119,P089,P081,8457,2026-01-27,L023
T0120,P099,P039,22921,2026-06-03,L026
T0121,P016,P073,1845,2026-03-30,L018
T0122,P055,P085,12642,2026-01-18,L017
T0123,P083,P044,914,2026-08-06,L014
T0124,P063,P014,14705,2026-04-03,L021
T0125,P059,P091,5513,2026-04-22,L006
T0126,P094,P067,21814,2026-03-11,L020
T0127,P069,P100,16343,2026-04-30,L014
T0128,P094,P076,9294,2026-03-24,L028
T0129,P032,P012,9639,2026-08-14,L015
T0130,P032,P097,15727,2026-05-26,L020
T0131,P086,P049,11523,2026-01-08,L016
T0132,P042,P024,16476,2026-02-24,L012
T0133,P034,P044,9663,2026-08-14,L020
T0134,P090,P036,18712,2026-01-03,L017
T0135,P025,P011,8408,2026-07-04,L014
T0136,P063,P072,8374,2026-06-26,L016
T0137,P083,P092,16583,2026-04-25,L026
T0138,P003,P012,10141,2026-02-26,L013
T0139,P089,P032,10533,2026-06-19,L019
T0140,P048,P061,18636,2026-05-16,L012
T0141,P055,P096,18535,2026-03-26,L012
T0142,P090,P059,9377,2026-03-20,L009
T0143,P030,P016,24135,2026-02-19,L011
T0144,P016,P096,18059,2026-07-15,L023
T0145,P024,P025,7590,2026-07-09,L016
T0146,P036,P093,19819,2026-07-14,L017
T0147,P077,P037,3794,2026-08-02,L007
T0148,P038,P030,12325,2026-02-15,L010
T0149,P002,P091,18002,2026-02-02,L009
T0150,P006,P007,18632,2026-03-16,L023
T0151,P017,P082,16585,2026-01-27,L028
T0152,P002,P074,9817,2026-05-01,L016
T0153,P057,P044,6541,2026-01-14,L009
T0154,P062,P015,2641,2026-04-13,L016
T0155,P010,P074,21125,2026-06-25,L002
T0156,P020,P073,10456,2026-01-22,L008
T0157,P016,P072,14137,2026-06-05,L020
T0158,P080,P029,17623,2026-04-08,L015
T0159,P057,P039,19784,2026-04-20,L010
T0160,P073,P080,2473,2026-06-06,L024
T0161,P013,P098,7308,2026-06-10,L007
T0162,P034,P085,3160,2026-02-10,L008
T0163,P023,P071,2959,2026-02-10,L001
T0164,P053,P058,23089,2026-06-02,L016
T0165,P038,P005,8085,2026-03-15,L023
T0166,P037,P090,15377,2026-01-19,L022
T0167,P030,P034,20981,2026-05-31,L022
T0168,P026,P055,4260,2026-05-20,L008
T0169,P083,P020,9204,2026-07-31,L005
T0170,P010,P008,5936,2026-07-22,L010
T0171,P077,P096,19151,2026-08-24,L010
T0172,P057,P016,15858,2026-06-26,L010
T0173,P090,P052,9420,2026-05-09,L018
T0174,P064,P057,3135,2026-06-03,L002
T0175,P056,P095,11061,2026-06-04,L009
T0176,P004,P012,8001,2026-06-22,L027
T0177,P074,P076,1179,2026-07-15,L022
T0178,P035,P074,1818,2026-07-15,L025
T0179,P023,P061,17505,2026-06-16,L015
T0180,P036,P024,19680,2026-04-22,L021
T0181,P063,P012,15901,2026-03-31,L014
T0182,P043,P042,22458,2026-01-27,L028
T0183,P021,P043,13988,2026-06-27,L016
T0184,P037,P085,13622,2026-07-28,L025
T0185,P071,P005,15403,2026-01-23,L011
T0186,P033,P042,4298,2026-07-17,L013
T0187,P066,P001,22050,2026-08-11,L018
T0188,P060,P053,2276,2026-02-18,L017
T0189,P047,P080,16834,2026-06-10,L015
T0190,P098,P007,7170,2026-03-10,L018
T0191,P017,P037,14856,2026-08-14,L023
T0192,P063,P016,1445,2026-06-11,L020
T0193,P031,P091,5689,2026-03-21,L018
T0194,P002,P071,13869,2026-01-24,L008
T0195,P015,P060,4349,2026-06-15,L027
T0196,P020,P064,23981,2026-03-16,L017
T0197,P091,P035,14114,2026-08-02,L016
T0198,P061,P032,15467,2026-05-22,L005
T0199,P050,P025,20140,2026-05-11,L024
T0200,P018,P009,9552,2026-07-17,L026
T0201,P054,P044,17137,2026-03-10,L027
T0202,P001,P037,24291,2026-03-18,L027
T0203,P076,P075,22124,2026-05-06,L028
T0204,P020,P058,18148,2026-05-04,L012
T0205,P043,P071,18307,2026-04-07,L015
T0206,P042,P025,23355,2026-03-03,L019
T0207,P050,P030,13960,2026-01-12,L011
