vehicle_id,registration_number,person_id,registration,vehicle_type,owner_person_id,plate_number,model,color,status
V001,MH12AD0001,P005,,,,,,,
V002,MH12BG0002,P010,,,,,,,
V003,MH12CJ0003,P015,,,,,,,
V004,MH12DM0004,P020,,,,,,,
V005,MH12EP0005,P025,,,,,,,
V006,MH12FS0006,P030,,,,,,,
V007,MH12GV0007,P035,,,,,,,
V008,MH12HY0008,P040,,,,,,,
V009,MH12IB0009,P045,,,,,,,
V010,MH12JE0010,P050,,,,,,,
V011,MH12KH0011,P055,,,,,,,
V012,MH12LK0012,P060,,,,,,,
V013,MH12MN0013,P065,,,,,,,
V014,MH12NQ0014,P070,,,,,,,
V015,MH12OT0015,P075,,,,,,,
V016,MH12PW0016,P080,,,,,,,
V017,MH12QZ0017,P085,,,,,,,
V018,MH12RC0018,P090,,,,,,,
V019,MH12SF0019,P095,,,,,,,
V020,MH12TI0020,P100,,,,,,,
V021,MH12UL0021,P005,,,,,,,
V022,MH12VO0022,P010,,,,,,,
V023,MH12WR0023,P015,,,,,,,
V024,MH12XU0024,P020,,,,,,,
V025,MH12YX0025,P025,,,,,,,
V026,MH12ZA0026,P030,,,,,,,
V027,MH12AD0027,P035,,,,,,,
V028,MH12BG0028,P040,,,,,,,
V029,MH12CJ0029,P045,,,,,,,
V030,MH12DM0030,P050,,,,,,,
V031,MH12EP0031,P055,,,,,,,
V032,MH12FS0032,P060,,,,,,,
V033,MH12GV0033,P065,,,,,,,
V034,MH12HY0034,P070,,,,,,,
V035,MH12IB0035,P075,,,,,,,
V036,MH12JE0036,P080,,,,,,,
V037,MH12KH0037,P085,,,,,,,
V038,MH12LK0038,P090,,,,,,,
V039,MH12MN0039,P095,,,,,,,
V040,MH12NQ0040,P100,,,,,,,
V041,MH12OT0041,P005,,,,,,,
V042,MH12PW0042,P010,,,,,,,
V043,MH12QZ0043,P015,,,,,,,
V044,MH12RC0044,P020,,,,,,,
V045,MH12SF0045,P025,,,,,,,
V046,MH12TI0046,P030,,,,,,,
V047,MH12UL0047,P035,,,,,,,
V048,MH12VO0048,P040,,,,,,,
V049,MH12WR0049,P045,,,,,,,
V050,MH12XU0050,P050,,,,,,,
V051,MH12YX0051,P055,,,,,,,
V052,MH12ZA0052,P060,,,,,,,
V053,MH12AD0053,P065,,,,,,,
V054,MH12BG0054,P070,,,,,,,
V055,MH12CJ0055,P075,,,,,,,
V056,MH12DM0056,P080,,,,,,,
V057,MH12EP0057,P085,,,,,,,
V058,MH12FS0058,P090,,,,,,,
V059,MH12GV0059,P095,,,,,,,
V060,MH12HY0060,P100,,,,,,,
V061,MH12SHARED1,P001,,,,,,,
V062,MH12SHARED1,P019,,,,,,,
V063,MH12SHARED2,P002,,,,,,,
V064,MH12SHARED2,P031,,,,,,,
